source_id	source_spec	bundle_uuid	bundle_version	file_document_id	file_type	file_name	file_format	read_index	file_size	file_uuid	file_version	file_crc32c	file_sha256	file_content_type	file_drs_uri	file_url	cell_suspension.provenance.document_id	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_process.provenance.document_id	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	library_preparation_protocol.nucleic_acid_source	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	project.estimated_cell_count	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.development_stage	donor_organism.diseases	donor_organism.organism_age	cell_line.provenance.document_id	cell_line.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id	sequencing_input.provenance.document_id	sequencing_input.biomaterial_core.biomaterial_id	sequencing_input_type
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	834f7e63-252d-42ad-bdfc-6fedbf818c54	2019-07-04T15:13:32.938000Z	0aff0ffb-bd92-4f36-9476-4560aca54221	sequence_file	SRR3879616_1.fastq.gz	fastq.gz	read1	3215704131	cb2db81d-ceec-45e8-a7ea-0e5b502c40e2	2019-07-04T15:15:08.499814Z	3b7c2009	3b8d7ec61d5dc116f82b2808b803afc569cb77d9322cc1b06a6068320d672f5a	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_9a9cb1eb-d0f3-41c2-a7c7-6661594d45eb	https://service.azul.data.humancellatlas.org/repository/files/cb2db81d-ceec-45e8-a7ea-0e5b502c40e2?catalog=dcp30&version=2019-07-04T15%3A15%3A08.499814Z	56de2363-6746-4436-8dcf-9262a1e7e6bd	M_ICR_pancreas_cells_batch3	334	pancreatic PP cell	7c2a25e2-71ba-463d-bb61-a4da9b07ca49	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	0314d779-ef0e-4c5b-8066-1d299f4cba95		pancreas			unknown	M_ICR_1 || M_ICR_2 || M_ICR_3 || M_ICR_4 || M_ICR_5	050c32a9-7239-42b9-b643-a7736addef06 || 2cc4804f-9b04-4765-b79e-96542c9602b2 || 960aee58-d9bc-4339-9ca7-0bf100d0b21d || 9e14b7bb-5525-422c-9100-069527a19dd7 || 9f4290b5-d639-4c4a-9b4c-520721144336	Mus musculus	adult	normal								specimens	0314d779-ef0e-4c5b-8066-1d299f4cba95	M_ICR_pancreas	56de2363-6746-4436-8dcf-9262a1e7e6bd	M_ICR_pancreas_cells_batch3	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	782446b9-13eb-4d56-aa29-392c744ad4cd	2019-07-04T15:13:32.938000Z	145ca89e-0c33-4a5d-8a80-24709fa91dd2	sequence_file	SRR3879605_2.fastq.gz	fastq.gz	read2	13111835670	f156df68-6d52-44ea-a29a-c3fb87e962f3	2019-07-04T15:14:45.855501Z	c299bbb4	8de935ac52c7dbdfd12b44c305e81207ba588040340284604c07325b0a034fb5	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_ddaa7e19-396f-4c7d-aad4-d25ac001d4d7	https://service.azul.data.humancellatlas.org/repository/files/f156df68-6d52-44ea-a29a-c3fb87e962f3?catalog=dcp30&version=2019-07-04T15%3A14%3A45.855501Z	25ea7524-9406-4f8a-99b9-9407f096a0cc	H2_pancreas_cells_batch2	800	pancreatic PP cell	9d642e35-52c7-47ce-add2-ac83bcf08b97	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	a0211130-22ca-4f34-ab10-d4c4c24f39c2		pancreas			female	H2	dceaed72-f0aa-47d5-9398-b33d2c2e234b	Homo sapiens	human adult stage	normal	51 year							specimens	a0211130-22ca-4f34-ab10-d4c4c24f39c2	H2_pancreas	25ea7524-9406-4f8a-99b9-9407f096a0cc	H2_pancreas_cells_batch2	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	a2b14ed0-a064-4021-8cc1-9f95d3c19ddf	2019-07-04T15:13:32.938000Z	1d4e8825-fb75-421f-858a-f08ec34a1342	sequence_file	SRR3879617_1.fastq.gz	fastq.gz	read1	4674579874	c5a96345-80e3-47d9-8d53-b6da1cc67c1d	2019-07-04T15:15:08.507904Z	4c7f8324	ccbffdc1633580cfd31cff51ae23400c8bc3912000ca5c31092d09ad67ee86c1	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_b23974b1-47d2-4bdc-a110-94bc491407ef	https://service.azul.data.humancellatlas.org/repository/files/c5a96345-80e3-47d9-8d53-b6da1cc67c1d?catalog=dcp30&version=2019-07-04T15%3A15%3A08.507904Z	18701fac-940c-41a3-b820-f0ef727e6729	M_C57BL/6_pancreas_cells_batch1	334	pancreatic PP cell	16cc7f82-8551-4f78-9b8c-93c89fac8987	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	cd7c5451-eb06-43b3-9e97-dd500aa57f18		pancreas			unknown	M_C57BL/6_1 || M_C57BL/6_2 || M_C57BL/6_3 || M_C57BL/6_4 || M_C57BL/6_5	81939680-09c2-4094-ba71-107ead2ff26c || a62bb786-bcc4-41f5-b7ca-8d2ee8b3eb5d || a67dc83a-26da-4e1e-8d4a-8dbb7b3daba8 || b255e4a7-c74a-45f5-9d58-9bfc2b8b1c2e || d946f756-be12-4583-ab01-8caaa7515df3	Mus musculus	adult	normal								specimens	cd7c5451-eb06-43b3-9e97-dd500aa57f18	M_C57BL/6_pancreas	18701fac-940c-41a3-b820-f0ef727e6729	M_C57BL/6_pancreas_cells_batch1	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	26be5e3e-5ff8-41a2-9ee0-300fcbca73ed	2019-07-04T15:13:32.938000Z	1f016af8-025d-41a1-aa9d-58b4afcb2604	sequence_file	SRR3879603_2.fastq.gz	fastq.gz	read2	13047631507	a959e5c1-4584-4526-982d-b140ea32ba35	2019-07-04T15:14:44.531498Z	7f3701f4	03461f1ef3662ae0b449af28493c5e27cfd13904a82b30a516d2054e118ee9df	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_5fb7276b-40f2-457a-9e49-57181f541117	https://service.azul.data.humancellatlas.org/repository/files/a959e5c1-4584-4526-982d-b140ea32ba35?catalog=dcp30&version=2019-07-04T15%3A14%3A44.531498Z	5ded0188-3056-4fb0-88ec-f3a4341a352e	H1_pancreas_cells_batch3	800	pancreatic PP cell	d150ea6c-26f6-490c-b51a-4b811f4e917f	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	87f0c0c6-b8c0-4099-bcdd-0b75b539afd9		pancreas			male	H1	ff02971a-0615-48b2-96a1-6f7c1d5e6fb1	Homo sapiens	adolescent stage	normal	17 year							specimens	87f0c0c6-b8c0-4099-bcdd-0b75b539afd9	H1_pancreas	5ded0188-3056-4fb0-88ec-f3a4341a352e	H1_pancreas_cells_batch3	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	9c447601-2fde-4965-91c9-73a9236e68cd	2019-07-04T15:13:32.938000Z	21c13f1c-e504-4e48-bd52-fff04bda8330	sequence_file	SRR3879602_2.fastq.gz	fastq.gz	read2	19324070387	6fd6d8a2-8134-40bf-ba83-e170d4bcf367	2019-07-04T15:14:45.744341Z	5f73b8f5	712985061daf7cbc86d1cdbc282822cc25ac450a4ae3c39bd1be6526afd1b302	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_bf338810-1f43-48eb-9cd6-d996e35560a0	https://service.azul.data.humancellatlas.org/repository/files/6fd6d8a2-8134-40bf-ba83-e170d4bcf367?catalog=dcp30&version=2019-07-04T15%3A14%3A45.744341Z	6c4fc4fd-e63f-4682-ab92-060e3bd09ab4	H1_pancreas_cells_batch2	800	pancreatic PP cell	8f4d6182-43c5-4dbc-9e71-2b99f1929c2d	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	87f0c0c6-b8c0-4099-bcdd-0b75b539afd9		pancreas			male	H1	ff02971a-0615-48b2-96a1-6f7c1d5e6fb1	Homo sapiens	adolescent stage	normal	17 year							specimens	87f0c0c6-b8c0-4099-bcdd-0b75b539afd9	H1_pancreas	6c4fc4fd-e63f-4682-ab92-060e3bd09ab4	H1_pancreas_cells_batch2	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	0265816a-d09f-43af-a200-2a48109bbc2e	2019-07-04T15:13:32.938000Z	26e920b9-88f5-4838-91c1-144807d212b9	sequence_file	SRR3879608_1.fastq.gz	fastq.gz	read1	8933233597	8aca942c-17f7-4e34-b8fd-3c12e50f9291	2019-07-04T15:14:44.185805Z	64d51664	44d320c9606e32d6df04d8a4023e6474efaa2f99de436e07f7241942972d5703	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_b626b2ce-f565-45fd-a5eb-df776f9e75f8	https://service.azul.data.humancellatlas.org/repository/files/8aca942c-17f7-4e34-b8fd-3c12e50f9291?catalog=dcp30&version=2019-07-04T15%3A14%3A44.185805Z	22389c41-bd17-409d-ab91-b0859591526d	H3_pancreas_cells_batch2	800	pancreatic PP cell	16a0ac43-0f39-4a4d-8b83-e90656520efa	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	e897d6c4-38ef-4e1b-acdd-bd719a5a1349		pancreas			male	H3	e611aec5-4b76-4740-b0d8-3106e6f8c15e	Homo sapiens	human adult stage	normal	38 year							specimens	e897d6c4-38ef-4e1b-acdd-bd719a5a1349	H3_pancreas	22389c41-bd17-409d-ab91-b0859591526d	H3_pancreas_cells_batch2	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	1be85946-4830-4c05-8a39-13b09048914c	2019-07-04T15:13:32.938000Z	2b452e43-4faf-4880-b26b-55a1366c96e0	sequence_file	SRR3879618_2.fastq.gz	fastq.gz	read2	8099302738	2cfc93ae-8c6a-4f4a-ae5e-69a4da3a1f35	2019-07-04T15:15:08.632710Z	0d7c3b77	1e17d487351852199e6b950d85f766cf35c6e50c75790e58bcba465c91a6fa95	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_0fba5eaa-5680-42a4-9952-355cf72377c4	https://service.azul.data.humancellatlas.org/repository/files/2cfc93ae-8c6a-4f4a-ae5e-69a4da3a1f35?catalog=dcp30&version=2019-07-04T15%3A15%3A08.632710Z	02341f59-b12e-4039-83c6-b563919f7845	M_C57BL/6_pancreas_cells_batch2	334	pancreatic PP cell	ccb0cd24-fdbb-442e-a854-e991a25bf2db	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	cd7c5451-eb06-43b3-9e97-dd500aa57f18		pancreas			unknown	M_C57BL/6_1 || M_C57BL/6_2 || M_C57BL/6_3 || M_C57BL/6_4 || M_C57BL/6_5	81939680-09c2-4094-ba71-107ead2ff26c || a62bb786-bcc4-41f5-b7ca-8d2ee8b3eb5d || a67dc83a-26da-4e1e-8d4a-8dbb7b3daba8 || b255e4a7-c74a-45f5-9d58-9bfc2b8b1c2e || d946f756-be12-4583-ab01-8caaa7515df3	Mus musculus	adult	normal								specimens	cd7c5451-eb06-43b3-9e97-dd500aa57f18	M_C57BL/6_pancreas	02341f59-b12e-4039-83c6-b563919f7845	M_C57BL/6_pancreas_cells_batch2	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	1d69f54c-176a-4f41-b75a-f058eadcce04	2019-07-04T15:13:32.938000Z	2cca3b6d-ab2e-4b95-8edd-0daf4640050c	sequence_file	SRR3879604_2.fastq.gz	fastq.gz	read2	18783088972	3ffe4bc7-0abd-454e-908e-bf8926190758	2019-07-04T15:14:44.484236Z	84deb8f0	a871eac391850f548408851c61b7a343d0cb1620caa2942e6452c12fa807a45a	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_4acabe15-a7d3-4adf-aada-5ecccbb6180f	https://service.azul.data.humancellatlas.org/repository/files/3ffe4bc7-0abd-454e-908e-bf8926190758?catalog=dcp30&version=2019-07-04T15%3A14%3A44.484236Z	98568949-65eb-43fb-934a-74f50d6a18e0	H2_pancreas_cells_batch1	800	pancreatic PP cell	3e197045-991e-4c02-afea-458b24ba99a2	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	a0211130-22ca-4f34-ab10-d4c4c24f39c2		pancreas			female	H2	dceaed72-f0aa-47d5-9398-b33d2c2e234b	Homo sapiens	human adult stage	normal	51 year							specimens	a0211130-22ca-4f34-ab10-d4c4c24f39c2	H2_pancreas	98568949-65eb-43fb-934a-74f50d6a18e0	H2_pancreas_cells_batch1	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	9a02d01d-be83-4706-8fd5-3ddb113cfd82	2019-07-04T15:13:32.938000Z	3c5eff04-68ef-46de-8247-6cb01cc2c580	sequence_file	SRR3879611_2.fastq.gz	fastq.gz	read2	16353566528	a4cfa1c6-f29c-41d7-932e-8bb384ac6343	2019-07-04T15:14:44.434671Z	8d8e1e5c	bb224f87c722d43f71d5ab3807d386b5743080c2e9de3f16805c633d4612cd7c	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_9716e9b1-1c9f-4774-971b-585e9151df59	https://service.azul.data.humancellatlas.org/repository/files/a4cfa1c6-f29c-41d7-932e-8bb384ac6343?catalog=dcp30&version=2019-07-04T15%3A14%3A44.434671Z	19f0cd64-5896-4bea-b330-e0f64f5d5177	H4_pancreas_cells_batch1	800	pancreatic PP cell	3f108dd3-f675-481f-8ced-5040b8edad0d	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	4ece42fc-b978-40dc-8b41-7f9c3ffc790c		pancreas			female	H4	65afdb69-8377-4e79-bd33-eb20515d0d0b	Homo sapiens	human adult stage	type 2 diabetes mellitus	59 year							specimens	4ece42fc-b978-40dc-8b41-7f9c3ffc790c	H4_pancreas	19f0cd64-5896-4bea-b330-e0f64f5d5177	H4_pancreas_cells_batch1	cell_suspension
9ccd8d04-af0a-4ad3-aff1-e6b316935c50	tdr:datarepo-80208d02:snapshot/hca_prod_f86f1ab41fbb4510ae353ffd752d4dfc__20220119_dcp2_20230815_dcp30:/0	3002471e-12b4-4d4b-9cff-3271825c20fe	2019-07-04T15:13:32.938000Z	40672676-15f3-423f-a103-20735a24af8d	sequence_file	SRR3879613_1.fastq.gz	fastq.gz	read1	13723032487	0120829a-458a-4546-847f-98c823b3b0e3	2019-07-04T15:14:44.218138Z	a7edb38a	217b51cad98198297f741575e90306ae29c3bb18f6b9e6e7f4676c8058cf9aa9	application/gzip; dcp-type=data	drs://data.terra.bio/v1_9ccd8d04-af0a-4ad3-aff1-e6b316935c50_b63a3755-e8fe-4125-bed9-7f988b44209c	https://service.azul.data.humancellatlas.org/repository/files/0120829a-458a-4546-847f-98c823b3b0e3?catalog=dcp30&version=2019-07-04T15%3A14%3A44.218138Z	79d10ec8-358d-4187-a297-f50db1ff437e	H4_pancreas_cells_batch3	800	pancreatic PP cell	cacdf3bb-dee8-4bbc-907b-b6d6982403f0	Illumina HiSeq 2500	True	inDrop	single cell	f86f1ab4-1fbb-4510-ae35-3ffd752d4dfc	Broad Institute || EMBL-EBI || Harvard Medical School || Harvard University || Technion - Israel Institute of Technology	Center for the Science of Therapeutics || Department of Immunology, Faculty of Medicine || Department of Stem Cell and Regenerative Biology || Department of Systems Biology || Faculty of Biology || Human Cell Atlas Data Coordination Platform	HumanMousePancreas	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	12404	4ece42fc-b978-40dc-8b41-7f9c3ffc790c		pancreas			female	H4	65afdb69-8377-4e79-bd33-eb20515d0d0b	Homo sapiens	human adult stage	type 2 diabetes mellitus	59 year							specimens	4ece42fc-b978-40dc-8b41-7f9c3ffc790c	H4_pancreas	79d10ec8-358d-4187-a297-f50db1ff437e	H4_pancreas_cells_batch3	cell_suspension
