source_id	source_spec	bundle_uuid	bundle_version	file_document_id	file_type	file_name	file_format	read_index	file_size	file_uuid	file_version	file_crc32c	file_sha256	file_content_type	file_drs_uri	file_url	cell_suspension.provenance.document_id	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_process.provenance.document_id	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	library_preparation_protocol.nucleic_acid_source	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	project.estimated_cell_count	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.development_stage	donor_organism.diseases	donor_organism.organism_age	cell_line.provenance.document_id	cell_line.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id	sequencing_input.provenance.document_id	sequencing_input.biomaterial_core.biomaterial_id	sequencing_input_type
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	bab069ff-393f-40d7-8380-2e3b7473490b	2023-07-19T14:05:51.768000Z	13bb1862-3c34-4133-a74c-0efadb8f9fd8	sequence_file	SRR6313915_2.fastq.gz	fastq.gz	read2	2773024356	9a0366fa-9532-41da-a311-9e823445701d	2021-01-13T11:22:50.396000Z	12238168	35e65bf26e0afb13b92e71889d1cf571457d17f6fbb4e544ce0ca6d2b91c2a7c	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_340532dd-b1f2-401b-a66e-e07c7cb6eecb	https://service.azul.data.humancellatlas.org/repository/files/9a0366fa-9532-41da-a311-9e823445701d?catalog=dcp30&version=2021-01-13T11%3A22%3A50.396000Z	aa31452d-d4f3-4c61-aee8-1e5214e4136b	SRX3413849	6377		bab069ff-393f-40d7-8380-2e3b7473490b	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	cdf71696-a8c0-4930-b107-e1c3b251b967	type 2 diabetes mellitus	pancreas	islet of Langerhans		male	Diabetic_donor_3	df219cb8-c1e9-4677-9dd3-23adb9fa8e7a	Homo sapiens	human adult stage	type 2 diabetes mellitus	51.0 year							specimens	cdf71696-a8c0-4930-b107-e1c3b251b967	SAMN08051214	aa31452d-d4f3-4c61-aee8-1e5214e4136b	SRX3413849	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	4e4a5832-da7f-42d3-9957-462b4e0eea9f	2023-07-19T14:05:51.768000Z	142ab21f-6497-4143-bced-fd3dbc161372	sequence_file	SRR5818094_2.fastq.gz	fastq.gz	read2	5352697949	01115d53-0514-417d-8b5c-7e3d6b8caacd	2021-01-13T11:22:50.308000Z	362c70cb	e9adbeec0bd7271e9d7ee317204182032360b6bec55806eb7ae015aca04af7d4	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_19d8a496-c637-49ff-bf56-825ae2d21265	https://service.azul.data.humancellatlas.org/repository/files/01115d53-0514-417d-8b5c-7e3d6b8caacd?catalog=dcp30&version=2021-01-13T11%3A22%3A50.308000Z	def71fdd-147f-4e58-98b5-e9c77411708a	SRX2996340	1823		4e4a5832-da7f-42d3-9957-462b4e0eea9f	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	048296d4-d5ba-453d-ba66-63d93dd4568c	normal	pancreas	islet of Langerhans		male	Diabetic_donor_2	568c642b-3c76-4168-a75c-5d8e91f89e87	Homo sapiens	human adult stage	normal	61.0 year							specimens	048296d4-d5ba-453d-ba66-63d93dd4568c	SAMN07343857	def71fdd-147f-4e58-98b5-e9c77411708a	SRX2996340	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	54baddcd-7631-4eaa-9a07-f238f15708a8	2023-07-19T14:05:51.768000Z	25168f4f-3cd9-4792-ac3b-53ebabebf06b	sequence_file	SRR6313914_2.fastq.gz	fastq.gz	read2	1423405906	9e6ccd33-e929-498f-bc7c-8655405c6abf	2021-01-13T11:22:50.351000Z	09be5123	6dc1aeccf56f4596b93f4cb66b44c620799a69e110a15fba079ccbdb0edc9949	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_94073bf0-263f-4a1e-9e75-4fc22bd834cd	https://service.azul.data.humancellatlas.org/repository/files/9e6ccd33-e929-498f-bc7c-8655405c6abf?catalog=dcp30&version=2021-01-13T11%3A22%3A50.351000Z	9d655217-a09d-44bb-a83a-f740f1d809ec	SRX3413848	6969		54baddcd-7631-4eaa-9a07-f238f15708a8	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	e0dc9bcc-b085-4db6-aaee-7683c41ba9aa	type 2 diabetes mellitus	pancreas	islet of Langerhans		male	Non_diabetic_donor_6	be093fe7-b13c-42e8-ba15-f7d9782b9d4b	Homo sapiens	human adult stage	type 2 diabetes mellitus	44.0 year							specimens	e0dc9bcc-b085-4db6-aaee-7683c41ba9aa	SAMN08051215	9d655217-a09d-44bb-a83a-f740f1d809ec	SRX3413848	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	54baddcd-7631-4eaa-9a07-f238f15708a8	2023-07-19T14:05:51.768000Z	3e5a4754-425c-4a2f-845d-42c6c8c95906	sequence_file	SRR6313914_1.fastq.gz	fastq.gz	read1	973781045	f412c3ae-1848-4fea-9fe1-a8fd897217cf	2021-01-13T11:22:50.335000Z	d5504295	20f1ee11130eef56acc54dfeaef9d9cf60ba39db13e18247458c5c6a103d0264	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_6d790832-3179-4b6a-891d-b310bf6b6f00	https://service.azul.data.humancellatlas.org/repository/files/f412c3ae-1848-4fea-9fe1-a8fd897217cf?catalog=dcp30&version=2021-01-13T11%3A22%3A50.335000Z	9d655217-a09d-44bb-a83a-f740f1d809ec	SRX3413848	6969		54baddcd-7631-4eaa-9a07-f238f15708a8	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	e0dc9bcc-b085-4db6-aaee-7683c41ba9aa	type 2 diabetes mellitus	pancreas	islet of Langerhans		male	Non_diabetic_donor_6	be093fe7-b13c-42e8-ba15-f7d9782b9d4b	Homo sapiens	human adult stage	type 2 diabetes mellitus	44.0 year							specimens	e0dc9bcc-b085-4db6-aaee-7683c41ba9aa	SAMN08051215	9d655217-a09d-44bb-a83a-f740f1d809ec	SRX3413848	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	b96176a0-1682-559d-8fdd-b6f85ba820bf	2021-02-22T16:08:23.715288Z	3fb0f780-aeac-59c6-a390-94f6f0f955bd	supplementary_file	GSE101207_RAW.tar.gz	tar.gz		37522186	3fb0f780-aeac-59c6-a390-94f6f0f955bd	2021-02-22T16:08:23.715288Z	e16770a7	fa316719a6872f2d78a633cd51f5b4587a4f82b9600217f5832cf6e50c374a84	application/x-gzip; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_f275bcef-101e-4f56-85ad-0d45575b391e	https://service.azul.data.humancellatlas.org/repository/files/3fb0f780-aeac-59c6-a390-94f6f0f955bd?catalog=dcp30&version=2021-02-22T16%3A08%3A23.715288Z								Drop-seq		1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905			pancreas				donor_organism_GSE101207_RAW.tar.gz		Homo sapiens	adult														
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	1d8d5c6e-43c4-4ae7-901b-edd501379fe8	2023-07-19T14:05:51.768000Z	5120e17f-2067-49da-98b3-bb41d96c9cce	sequence_file	SRR5818088_2.fastq.gz	fastq.gz	read2	15025068498	8a24141a-ee69-4745-b59b-8fa5f04ea1f0	2021-01-13T11:22:50.135000Z	65b11f87	93ce30936d2537dd7f9ee19d7ae2c9c96fb4ea69665dad4a3ff8ecbf09d65bfb	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_a7d56f20-680d-4047-837a-9bdea8d34316	https://service.azul.data.humancellatlas.org/repository/files/8a24141a-ee69-4745-b59b-8fa5f04ea1f0?catalog=dcp30&version=2021-01-13T11%3A22%3A50.135000Z	87b35c27-89c1-4c8d-8317-0e35c7ad273b	SRX2996334	1455		1d8d5c6e-43c4-4ae7-901b-edd501379fe8	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	21a97ad6-dee2-46dc-8bec-9830e4da4824	normal	pancreas	islet of Langerhans		male	Non_diabetic_donor_1	3d0fa2e4-40db-4538-8854-0cafeeaedd02	Homo sapiens	human adult stage	normal	27.0 year							specimens	21a97ad6-dee2-46dc-8bec-9830e4da4824	SAMN07343863	87b35c27-89c1-4c8d-8317-0e35c7ad273b	SRX2996334	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	b96176a0-1682-559d-8fdd-b6f85ba820bf	2021-02-22T16:08:23.715288Z	59b02942-887c-5d37-8614-714d6cc75cd3	supplementary_file	NIHMS1027273-supplement-Data_S1.xlsx	xlsx		1452992	59b02942-887c-5d37-8614-714d6cc75cd3	2021-02-22T16:08:23.715288Z	240269fa	e79e7d31e63dd74735eb283a9d274149b19517cf5849b7c2d39239c40d2a7578	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_1b23a58f-ec37-4064-a242-efdbcf509348	https://service.azul.data.humancellatlas.org/repository/files/59b02942-887c-5d37-8614-714d6cc75cd3?catalog=dcp30&version=2021-02-22T16%3A08%3A23.715288Z								Drop-seq		1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905			pancreas				donor_organism_NIHMS1027273-supplement-Data_S1.xlsx		Homo sapiens	adult														
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	84d85be5-8076-436f-bafe-8f1e1c00ae36	2023-07-19T14:05:51.768000Z	65e2936b-5403-4948-b745-b8473c61f210	sequence_file	SRR5818091_1.fastq.gz	fastq.gz	read1	1613612980	8e596758-4986-4050-99c6-5110d92a74f4	2021-01-13T11:22:50.212000Z	7c1ded4e	2a7ff7635395e55cce8219cdb8668d32e2a51f95c89c5bdf61a6c562184845ae	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_116086a0-cb37-4937-abfe-eb003a10d5eb	https://service.azul.data.humancellatlas.org/repository/files/8e596758-4986-4050-99c6-5110d92a74f4?catalog=dcp30&version=2021-01-13T11%3A22%3A50.212000Z	e81b255a-a313-4d6a-b931-779491594648	SRX2996337	6058		84d85be5-8076-436f-bafe-8f1e1c00ae36	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	ec64a150-87e0-4e1e-b2f0-3d4bc205806c	normal	pancreas	islet of Langerhans		male	Non_diabetic_donor_4	28a75d67-0b39-47b2-a717-d7e7a06f9e2e	Homo sapiens	human adult stage	normal	52.0 year							specimens	ec64a150-87e0-4e1e-b2f0-3d4bc205806c	SAMN07343860	e81b255a-a313-4d6a-b931-779491594648	SRX2996337	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	551fb1f7-b624-4b6d-946b-492f3456cde8	2023-07-19T14:05:51.768000Z	6c0e74ff-1047-4fa3-9c6e-2eae279003d9	sequence_file	SRR5818089_2.fastq.gz	fastq.gz	read2	4340114161	7077e8f4-1c13-401e-b436-45e90045ab3e	2021-01-13T11:22:50.166000Z	edb460af	ab6e6c5edf482e843d1a6f1f9ce879be7e9dc37df4a1b0f03fb7134d1eed2516	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_34b5b7a5-42a8-4760-a47a-dc7048c3d40c	https://service.azul.data.humancellatlas.org/repository/files/7077e8f4-1c13-401e-b436-45e90045ab3e?catalog=dcp30&version=2021-01-13T11%3A22%3A50.166000Z	220316f5-549d-4b23-b684-dc423b57b47e	SRX2996335	1206		551fb1f7-b624-4b6d-946b-492f3456cde8	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	c56bb343-89ee-44fd-bf0e-94397d119ef0	normal	pancreas	islet of Langerhans		male	Non_diabetic_donor_2	95cf796a-e407-4adb-a0cd-033be52bcca5	Homo sapiens	human adult stage	normal	21.0 year							specimens	c56bb343-89ee-44fd-bf0e-94397d119ef0	SAMN07343862	220316f5-549d-4b23-b684-dc423b57b47e	SRX2996335	cell_suspension
91711566-db15-4cc0-9153-64bfbf44a02c	tdr:datarepo-b58dd635:snapshot/hca_prod_1c6a960d52ac44eab728a59c7ab9dc8e__20220110_dcp2_20230815_dcp30:/0	c8acb157-d914-482e-995f-5c426fc88daa	2023-07-19T14:05:51.768000Z	79878048-28a4-4f9c-85ea-d17f518c5cbb	sequence_file	SRR5818093_2.fastq.gz	fastq.gz	read2	383011547	ffc93276-9454-464c-a723-fb77bdd647c7	2021-01-13T11:22:50.292000Z	f9cc2616	c649e7c48d107bb748659c2117c65c92738cece6780b43671cf36e956896a4ec	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_91711566-db15-4cc0-9153-64bfbf44a02c_196e04a6-eccd-4e5c-b85d-1885a5d8bc91	https://service.azul.data.humancellatlas.org/repository/files/ffc93276-9454-464c-a723-fb77bdd647c7?catalog=dcp30&version=2021-01-13T11%3A22%3A50.292000Z	627dff4b-dd79-4e6d-9ca3-bbf213e3300e	SRX2996339	1203		c8acb157-d914-482e-995f-5c426fc88daa	Illumina HiSeq 2000	False	Drop-seq	single cell	1c6a960d-52ac-44ea-b728-a59c7ab9dc8e	Brain Tumor Institute, Children's National Medical Center || Children's National Medical Center || EMBL-EBI || School of Medicine, Case Western Reserve University || University of Michigan Medical Center || University of North Carolina	Center for Cancer and Immunology Research || Center for Cancer and Immunology Research, Brain Tumor Institute || Department of Biostatistics, Department of Genetics, Department of Computer Science || Department of Genetics and Genome Sciences || Division of Metabolism, Endocrinology, and Diabetes	HealthyAndDiabeticPancreas	Massively parallel single-cell RNA-seq analysis of 26,677 pancreatic islets cells from both healthy and type II diabetic (T2D) donors.	39905	1ca1faca-0a4c-48c7-b44f-8ed71092136a	type 2 diabetes mellitus	pancreas	islet of Langerhans		male	Diabetic_donor_1	8a7602e6-df17-4129-9f70-1fd2259334aa	Homo sapiens	human adult stage	type 2 diabetes mellitus	58.0 year							specimens	1ca1faca-0a4c-48c7-b44f-8ed71092136a	SAMN07343858	627dff4b-dd79-4e6d-9ca3-bbf213e3300e	SRX2996339	cell_suspension
